npid|np|lad|ladid|n_ladid
1|Greater Manchester Combined Authority|Bolton|E08000001|E08000001
1|Greater Manchester Combined Authority|Bury|E08000002|E08000002
1|Greater Manchester Combined Authority|Oldham|E08000004|E08000004
1|Greater Manchester Combined Authority|Manchester|E08000003|E08000003
1|Greater Manchester Combined Authority|Rochdale|E08000005|E08000005
1|Greater Manchester Combined Authority|Salford|E08000006|E08000006
1|Greater Manchester Combined Authority|Stockport|E08000007|E08000007
1|Greater Manchester Combined Authority|Tameside|E08000008|E08000008
1|Greater Manchester Combined Authority|Trafford|E08000009|E08000009
1|Greater Manchester Combined Authority|Wigan|E08000010|E08000010
2|Liverpool City Region Combined Authority|Halton|E06000006|E06000006
2|Liverpool City Region Combined Authority|Knowsley|E08000011|E08000011
2|Liverpool City Region Combined Authority|Liverpool|E08000012|E08000012
2|Liverpool City Region Combined Authority|Sefton|E08000014|E08000014
2|Liverpool City Region Combined Authority|St. Helens|E08000013|E08000013
2|Liverpool City Region Combined Authority|Wirral|E08000015|E08000015
3|North East Combined Authority|County Durham|E06000047|E06000047
3|North East Combined Authority|Gateshead|E08000020|E08000037
3|North East Combined Authority|Newcastle upon Tyne|E08000021|E08000021
3|North East Combined Authority|North Tyneside|E08000022|E08000022
3|North East Combined Authority|Northumberland|E06000048|E06000057
3|North East Combined Authority|South Tyneside|E08000023|E08000023
3|North East Combined Authority|Sunderland|E08000024|E08000024
4|Sheffield City Region Combined Authority|Barnsley|E08000016|E08000016
4|Sheffield City Region Combined Authority|Doncaster|E08000017|E08000017
4|Sheffield City Region Combined Authority|Rotherham|E08000018|E08000018
4|Sheffield City Region Combined Authority|Sheffield|E08000019|E08000019
5|West Yorkshire Combined Authority|Bradford|E08000032|E08000032
5|West Yorkshire Combined Authority|Calderdale|E08000033|E08000033
5|West Yorkshire Combined Authority|Kirklees|E08000034|E08000034
5|West Yorkshire Combined Authority|Leeds|E08000035|E08000035
5|West Yorkshire Combined Authority|Wakefield|E08000036|E08000036
6|Hull City Region|East Riding of Yorkshire|E06000011|E06000011
6|Hull City Region|Kingston upon Hull, City of|E06000010|E06000010
6|Hull City Region|North Lincolnshire|E06000013|E06000013
6|Hull City Region|North East Lincolnshire|E06000012|E06000012
